Course Assignment ID Numbers,,
ID,  LIFE - Lifetime Musician,Group
657,Primary Level 1A: Assignment 1,005A
658,Primary Level 1A: Assignment 2,010A
659,Primary Level 1A: Assignment 3,015A
660,Primary Level 1A: Assignment 4,020A
661,Primary Level 1A: Assignment 5 - Skill Check,025A
662,Primary Level 1A: Assignment 6,030A
663,Primary Level 1A: Assignment 7,035A
664,Primary Level 1A: Assignment 8,040A
665,Primary Level 1A: Assignment 9,045A
666,Primary Level 1A: Assignment 10 - Skill Check,050A
667,Primary Level 1A: Assignment 11,055A
668,Primary Level 1A: Assignment 12,060A
669,Primary Level 1A: Assignment 13,065A
670,Primary Level 1A: Assignment 14,070A
671,Primary Level 1A: Assignment 15 - Skill Check,075A
672,Primary Level 1A: Assignment 16,080A
673,Primary Level 1A: Assignment 17,085A
674,Primary Level 1A: Assignment 18,090A
675,Primary Level 1A: Assignment 19,095A
676,Primary Level 1A: Assignment 20,100A
677,Level 1: Assignment 1 - Review Level Primary 1A,105A
678,Level 1: Assignment 2,110A
679,Level 1: Assignment 3,115A
680,Level 1: Assignment 4,120A
681,Level 1: Assignment 5 - Skill Check,125A
682,Level 1: Assignment 6,130A
683,Level 1: Assignment 7,135A
684,Level 1: Assignment 8,140A
685,Level 1: Assignment 9,145A
686,Level 1: Assignment 10 - Skill Check,150A
687,Level 1: Assignment 11,155A
688,Level 1: Assignment 12,160A
689,Level 1: Assignment 13,165A
690,Level 1: Assignment 14,170A
691,Level 1: Assignment 15 - Skill Check,175A
692,Level 1: Assignment 16,180A
693,Level 1: Assignment 17,185A
694,Level 1: Assignment 18,190A
695,Level 1: Assignment 19,195A
696,Level 1: Assignment 20 - Skill Check,200A
697,Level 2: Assignment 1 - Review Level 1,205A
698,Level 2: Assignment 2,210A
699,Level 2: Assignment 3,215A
700,Level 2: Assignment 4,220A
701,Level 2: Assignment 5 - Skill Check,225A
702,Level 2: Assignment 6,230A
703,Level 2: Assignment 7,235A
704,Level 2: Assignment 8,240A
705,Level 2: Assignment 9,245A
706,Level 2: Assignment 10 - Skill Check,250A
707,Level 2: Assignment 11,255A
708,Level 2: Assignment 12,260A
709,Level 2: Assignment 13,265A
710,Level 2: Assignment 14,270A
711,Level 2: Assignment 15 - Skill Check,275A
712,Level 2: Assignment 16,280A
713,Level 2: Assignment 17,285A
714,Level 2: Assignment 18,290A
715,Level 2: Assignment 19,295A
716,Level 2: Assignment 20 - Skill Check,300A
717,Level 3: Assignment 1,305A
718,Level 3: Assignment 2,310A
719,Level 3: Assignment 3,315A
720,Level 3: Assignment 4,320A
721,Level 3: Assignment 5 - Skill Check,325A
722,Level 3: Assignment 6,330A
723,Level 3: Assignment 7,335A
724,Level 3: Assignment 8,340A
725,Level 3: Assignment 9,345A
726,Level 3: Assignment 10 - Skill Check,350A
727,Level 3: Assignment 11,355A
728,Level 3: Assignment 12,360A
729,Level 3: Assignment 13,365A
730,Level 3: Assignment 14,370A
731,Level 3: Assignment 15 - Skill Check,375A
732,Level 3: Assignment 16,380A
733,Level 3: Assignment 17,385A
734,Level 3: Assignment 18,390A
735,Level 3: Assignment 19,395A
736,Level 3: Assignment 20 - Skill Check,400A
737,Level 4: Assignment 1 - Review Level Three,405A
738,Level 4: Assignment 2,410A
739,Level 4: Assignment 3,415A
740,Level 4: Assignment 4,420A
741,Level 4: Assignment 5--Skill Check,425A
742,Level 4: Assignment 6,430A
743,Level 4: Assignment 7,435A
744,Level 4: Assignment 8,440A
745,Level 4: Assignment 9,445A
746,Level 4: Assignment 10 - Skill Check,450A
747,Level 4: Assignment 11,455A
748,Level 4: Assignment 12,460A
749,Level 4: Assignment 13,465A
750,Level 4: Assignment 14,470A
751,Level 4: Assignment 15 - Skill Check,475A
752,Level 4: Assignment 16,480A
753,Level 4: Assignment 17,485A
754,Level 4: Assignment 18,490A
755,Level 4: Assignment 19,495A
756,Level 4: Assignment 20,500A
757,Level 5: Assignment 1-Review of Level 4,505A
758,Level 5: Assignment 2,510A
759,Level 5: Assignment 3,515A
760,Level 5: Assignment 4,520A
761,Level 5: Assignment 5 - Skill Check,525A
762,Level 5: Assignment 6,530A
763,Level 5: Assignment 7,535A
764,Level 5: Assignment 8,540A
765,Level 5: Assignment 9,545A
766,Level 5: Assignment 10 - Skill Check,550A
767,Level 5: Assignment 11,555A
768,Level 5: Assignment 12,560A
769,Level 5: Assignment 13,565A
770,Level 5: Assignment 14,570A
771,Level 5: Assignment 15 - Skill Check,575A
772,Level 5: Assignment 16,580A
773,Level 5: Assignment 17,585A
774,Level 5: Assignment 18,590A
775,Level 6: Assignment 1,605A
ID,  SOLF - SOLFEGE,Group
776,Primary Level 1A: Assignment 1,005A
777,Primary Level 1A: Assignment 2,010A
778,Primary Level 1A: Assignment 3,015A
779,Primary Level 1A: Assignment 4,020A
780,Primary Level 1A: Assignment 5 - Skill Check,025A
781,Primary Level 1A: Assignment 6,030A
782,Primary Level 1A: Assignment 7,035A
783,Primary Level 1A: Assignment 8,040A
784,Primary Level 1A: Assignment 9,045A
785,Primary Level 1A: Assignment 10 - Skill Check,050A
786,Primary Level 1A: Assignment 11,055A
787,Primary Level 1A: Assignment 12,060A
788,Primary Level 1A: Assignment 13,065A
789,Primary Level 1A: Assignment 14,070A
790,Primary Level 1A: Assignment 15 - Skill Check,075A
791,Primary Level 1A: Assignment 16,080A
792,Primary Level 1A: Assignment 17,085A
793,Primary Level 1A: Assignment 18,090A
794,Primary Level 1A: Assignment 19,095A
795,Primary Level 1A: Assignment 20,100A
796,Level 1: Assignment 1 - Review Level Primary 1A,105A
797,Level 1: Assignment 2,110A
798,Level 1: Assignment 3,115A
799,Level 1: Assignment 4,120A
800,Level 1: Assignment 5 - Skill Check,125A
801,Level 1: Assignment 6,130A
802,Level 1: Assignment 7,135A
803,Level 1: Assignment 8,140A
804,Level 1: Assignment 9,145A
805,Level 1: Assignment 10 - Skill Check,150A
806,Level 1: Assignment 11,155A
807,Level 1: Assignment 12,160A
808,Level 1: Assignment 13,165A
809,Level 1: Assignment 14,170A
810,Level 1: Assignment 15 - Skill Check,175A
811,Level 1: Assignment 16,180A
812,Level 1: Assignment 17,185A
813,Level 1: Assignment 18,190A
814,Level 1: Assignment 19,195A
815,Level 1: Assignment 20 - Skill Check,200A
816,Level 2: Assignment 1 - Review Level 1,205A
817,Level 2: Assignment 2,210A
818,Level 2: Assignment 3,215A
819,Level 2: Assignment 4,220A
820,Level 2: Assignment 5 - Skill Check,225A
821,Level 2: Assignment 6,230A
822,Level 2: Assignment 7,235A
823,Level 2: Assignment 8,240A
824,Level 2: Assignment 9,245A
825,Level 2: Assignment 10 - Skill Check,250A
826,Level 2: Assignment 11,255A
827,Level 2: Assignment 12,260A
828,Level 2: Assignment 13,265A
829,Level 2: Assignment 14,270A
830,Level 2: Assignment 15 - Skill Check,275A
831,Level 2: Assignment 16,280A
832,Level 2: Assignment 17,285A
833,Level 2: Assignment 18,290A
834,Level 2: Assignment 19,295A
835,Level 2: Assignment 20 - Skill Check,300A
836,Level 3: Assignment 1,305A
837,Level 3: Assignment 2,310A
838,Level 3: Assignment 3,315A
839,Level 3: Assignment 4,320A
840,Level 3: Assignment 5 - Skill Check,325A
841,Level 3: Assignment 6,330A
842,Level 3: Assignment 7,335A
843,Level 3: Assignment 8,340A
844,Level 3: Assignment 9,345A
845,Level 3: Assignment 10 - Skill Check,350A
846,Level 3: Assignment 11,355A
847,Level 3: Assignment 12,360A
848,Level 3: Assignment 13,365A
849,Level 3: Assignment 14,370A
850,Level 3: Assignment 15 - Skill Check,375A
851,Level 3: Assignment 16,380A
852,Level 3: Assignment 17,385A
853,Level 3: Assignment 18,390A
854,Level 3: Assignment 19,395A
855,Level 3: Assignment 20 - Skill Check,400A
856,Level 4: Assignment 1 - Review Level Three,405A
857,Level 4: Assignment 2,410A
858,Level 4: Assignment 3,415A
859,Level 4: Assignment 4,420A
860,Level 4: Assignment 5--Skill Check,425A
861,Level 4: Assignment 6,430A
862,Level 4: Assignment 7,435A
863,Level 4: Assignment 8,440A
864,Level 4: Assignment 9,445A
865,Level 4: Assignment 10 - Skill Check,450A
866,Level 4: Assignment 11,455A
867,Level 4: Assignment 12,460A
868,Level 4: Assignment 13,465A
869,Level 4: Assignment 14,470A
870,Level 4: Assignment 15 - Skill Check,475A
871,Level 4: Assignment 16,480A
872,Level 4: Assignment 17,485A
873,Level 4: Assignment 18,490A
874,Level 4: Assignment 19,495A
875,Level 4: Assignment 20,500A
876,Level 5: Assignment 1-Review of Level 4,505A
877,Level 5: Assignment 2,510A
878,Level 5: Assignment 3,515A
879,Level 5: Assignment 4,520A
880,Level 5: Assignment 5 - Skill Check,525A
881,Level 5: Assignment 6,530A
882,Level 5: Assignment 7,535A
883,Level 5: Assignment 8,540A
884,Level 5: Assignment 9,545A
885,Level 5: Assignment 10 - Skill Check,550A
886,Level 5: Assignment 11,555A
887,Level 5: Assignment 12,560A
888,Level 5: Assignment 13,565A
889,Level 5: Assignment 14,570A
890,Level 5: Assignment 15 - Skill Check,575A
891,Level 5: Assignment 16,580A
892,Level 5: Assignment 17,585A
893,Level 5: Assignment 18,590A
894,Level 5: Assignment 19,595A
895,Level 6: Assignment 1,605A
ID,  EVAL - EVALUATION,Group
896,Primary Level 1A: B. Intervals,10
897,Primary Level 1A: C. Scales & Key Signature,15
898,Primary Level 1A: D. Pitch & Melody,20
899,Primary Level 1A: E. Rhythm,25
900,Primary Level 1A: F. Keyboard Elements,30
901,Primary Level 1A: G. Music Terms & Symbols,35
902,Primary Level 1A: H. Tonal Memory & Playback,40
903,Level 1: C. Scales & Key Signature,60
904,Level 1: D. Pitch & Melody,65
905,Level 1: E. Rhythm,70
906,Level 1: F. Keyboard Elements,75
907,Level 1: G. Music Terms & Symbols,80
908,Level 1: H. Tonal Memory & Playback,85
909,Level 2: A. Chords & Harmony,90
910,Level 2: B. Intervals,95
911,Level 2: C. Scales & Key Signature,100
912,Level 2: D. Pitch & Melody,105
913,Level 2: E. Rhythm,110
914,Level 2: G. Music Terms & Symbols,120
915,Level 2: H. Tonal Memory & Playback,125
916,Level 3: A. Chords & Harmony,130
917,Level 3: B. Intervals,135
918,Level 3: C. Scales & Key Signature,140
919,Level 3: D. Pitch & Melody,145
920,Level 3: E. Rhythm,150
921,Level 3: G. Music Terms & Symbols,160
922,Level 3: H. Tonal Memory & Playback,165
923,Level 4: A. Chords & Harmony,170
924,Level 4: B. Intervals,175
925,Level 4: C. Scales & Key Signature,180
926,Level 4: D. Pitch & Melody,185
927,Level 4: E. Rhythm,190
928,Level 4: H. Tonal Memory & Playback,205
929,Level 5: A. Chords & Harmony,210
930,Level 5: B. Intervals,215
931,Level 5: C. Scales & Key Signature,220
932,Level 5: D. Pitch & Melody,225
933,Level 5: E. Rhythm,230
934,Test,900A
935,Test: 2,900A