,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Game Level Table,,,,,,,Game Stage Table,,,,,,,,,,,Learning Element Table,,,,,,,,,Game Concepts,,,,,,,,,,,,,,,,,,,,
,Code,,Level Name,,,,,Code,,,Stage Name,,,,,Suffix,,,Code,,,Name,,,,,,Code,,,Concept Name,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,,Primary 1a,,,,,LERN,,,Learn,,,,,1,,,GAM,,,Game,,,,,,CHORD,,,Chords,,,,,,,,,,,,,,,,,
,1,,Level 1,,,,,PLAY,,,Play,,,,,2,,,SOL,,,Solfege,,,,,,INTVL,,,Intervals,,,,,,,,,,,,,,,,,
,2,,Level 2,,,,,QUIZ,,,Quiz,,,,,3,,,VID,,,Video,,,,,,KEYBD,,,Keyboard Elements,,,,,,,,,,,,,,,,,
,3,,Level 3,,,,,CHAL,,,Challenge,,,,,4,,,AUD,,,Audio,,,,,,KYSIG,,,Key Signatures,,,,,,,,,,,,,,,,,
,4,,Level 4,,,,,REV1,,,Review 1,,,,,5,,,TXT,,,Text,,,,,,MEMOP,,,Playback-Tonal Memory,,,,,,,,,,,,,,,,,
,5,,Level 5,,,,,REV2,,,Review 2,,,,,6,,,RWD,,,Reward,,,,,,PITCH,,,Pitch & Melody,,,,,,,,,,,,,,,,,
,6,,Level 6,,,,,,,,,,,,,,,,,,,,,,,,,RHYTM,,,Rhythm & Meter,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCALE,,,Scale & Staff,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYMBL,,,Music Symbols,,,,,,,,,,,,,,,,,
,Language Table,,,,,,,,Video & Audio Specification,,,,,,,,,,Reward Specifications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,,Language,,,,,,Code,,AV Type,,,,,,,,Code,,Reward Type,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,,,,,,,,,,,,,,,,
,E,,English,,,,,,TUT,,Site Tutorial,,,,,,1,,STK,,Sticker,,,,,1,,HARMP,,,Harmonic Progression,,,,,,,,,,,,,,,,,
,F,,French,,,,,,INS,,Instructional,,,,,,2,,BDG,,Badge,,,,,2,,MELOD,,,Melody,,,,,,,,,,,,,,,,,
,G,,German,,,,,,FUN,,Entertainment,,,,,,3,,CER,,Certificate,,,,,3,,METER,,,Meter,,,,,,,,,,,,,,,,,
,I,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,MTERM,,,Music Terms,,,,,,,,,,,,,,,,,
,P,,Portugeuse,,,,,,,,,,,,,,,,,,,,,,,,,STAFF,,,Staff,,,,,,,,,,,,,,,,,
,S,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code,,,Concept Type,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,Aural,,,,,,,,,,,,,,,
,Named Sequence Master Table,,,,,,,,,,,,,,,,,,Other Sequences,,,,,,,,,,,,V,,Visual,,,,,,,,,,,,,,,
,Code,,,Named Sequence,,,,,,,,,,,,,,,Code,,Sequence Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE,,, Lifetime Musician Curriculum (Default),,,,,,,,,,,,,,,SOL,,,Solfege,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFR,,, Alfred's Premier Piano Course,,,,,,,,,,,,,,,CAL,,,California MTAC,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARTI,,, Artistry at the Piano,,,,,,,,,,,,,,,FLO,,,Florida State MTA,,,,,,,,,,,,,,,,,,,,,,,,,,
,CELE,,, Celebrate Piano,,,,,,,,,,,,,,,ILL,,,Illinois MTA,,,,,,,,Text Specifications,,,,,,,,Extra Designation,,,,,,,,,,
,FABR,,, Faber Piano Adventures,,,,,,,,,,,,,,,TEX,,,Texas MTA,,,,,,,,Code,,Text Type,,,,,,Code,,,Extra,,,,,,,
,HALL,,, Hal Leonard Student Piano Library,,,,,,,,,,,,,,,VIR,,,Virginia MTA,,,,,,,,,,,,,,,,,,,,,,,,,,
,MYCH,,, Music For Young Children,,,,,,,,,,,,,,,,,,,,,,,,,,LAB,,Label,,,,,,M,MIDI capable,,,,,,,,,
,SUCC,,, Succeeding at the Piano,,,,,,,,,,,,,,,,,,,,,,,,,,GTX,,Game Text,,,,,,S,Solfege game,,,,,,,,,
,TREE,,, The Music Tree,,,,,,,,,,,,,,,,,,,,,,,,,,SEN,,Sentence,,,,,,F,Solfege sequence,,,,,,,,,
,RCME,,, The Royal Conservatory Examinations,,,,,,,,,,,,,,,,,,,,,,,,,,PAR,,Paragraph,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-Game Learning Element Numbering Scheme,,,,,,,,,,,,,,,,,,,,Example:,,,,VID-INS-2345-E,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,AUD-FUN-1007-F,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Element,,,Type,,Number,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AUD,,,TUT,,0001,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VID,,,INS,,2345,,,,F,,,Ex: Describes how to enter member code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TXT,,,FUN,,9999,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RWD,,,STK,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BDG,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CER,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Learning Element Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Element Number,,,,,,Element,,,Stage,,,Name,,,,,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,
,AUD-FUN-1000,,,,,,,AUD,,FUN,,,Play Music with Me,,,,,,,,,,Introductory Marketing video for website,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VID-INS-2345,,,,,,,VID,,INS,,,Member code,,,,,,,,,,Describes how to enter member code,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TXT-LAB-3015,,,,,,,TXT,,LAB,,,SUBSCRIBE,,,,,,,,,,Label on subscription page,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GAME SEQUENCE DEFINITION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE,,,Lifetime Musicain Sequence Definition Table,,,,,,,,,,,,,,,,,,Seq Order Number,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,,,Level Title,,,,,,,,,Unit Title,,,,,,,Group,,,,,Elements Numbers,,,,,,,Type,,,Stage,,,Name,,,,,,,,,,Description
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 1,,,,,,,,A,110,,,VID-INS-2005,,,,,,,VID,,,INS,,,How to Use Sequence,,,,,,,,,,How to navigate sequence assignment
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 2,,,,,,,,A,114,,,04001-1,,,,,,,GAM,,,LERN,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 3,,,,,,,,A,118,,,04001-2,,,,,,,GAM,,,PLAY,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds
,LIFE,,,Primary Level 1A,,,,,,,,, - - - - - - -,,,,,,,, - -,122,,,04001-3,,,,,,,GAM,,,QUIZ,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 20,,,,,,,,A,126,,,08002-1,,,,,,,GAM,,,LERN,,,Storm Chasers 1,,,,,,,,,,Aurally identify Up and Down
,,,,,,,,,,,,,,,,,,,,,,, -,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,(Last game in Level 1a Assignment 1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,(First game in Level 1a Assignment 2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Alfred Premier Piano Course Sequence Definition Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,,,Level Title,,,,,,,,,Unit Title,,,,,,,Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Level 1A,,,,,,,,,1. Pages 4-11,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Level 1A,,,,,,,,,1. Pages 4-11,,,,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Level 1A,,,,,,,,,1. Pages 4-11,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALPH,,,Level 1A,,,,,,,,,2. Pages 12-14,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,