,,,,,,,,,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual,,,,,,,,
,Base,Base,Per Each *,Base,Per Each ^,,Per Seat,,,,,,,,
,Seats,Cost, Added Seat,Cost, Added Seat,,Cost,,,,,,,,
,,,,,,,,,,,,,,,
,,PRELUDE,,,,,,,NOTES on Seat Additions:,,,,,,
,19,FREE for two weeks,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,SOLO PLAN,,,,,,,* ^ Added singly for Solo to 19 max,,,,,,
,5,$7.95,$0.80,$95.40,$9.60,,$19.08,,       and groups of 5 for Ensemble without limit,,,,STRIPE,,
,,,,,,,,,,,,,,,
,,ENSEMBLE PLAN,,,,,,,,,Increment,Per Step,Fixed,Per Step,Fixed
,20,$19.95,$0.20,$239.40,$2.40,,$11.97,,* Monthly - can add or subtract,,20,$0.20,$15.95,$2.40,$191.40
100,120,$39.95,$0.18,$479.40,$2.16,,$4.00,,"  seats, or pause, during any month",,100,$0.18,$2.00,$2.16,$24.00
120,240,$61.55,$0.16,$738.60,$1.92,,$3.08,,   Charge prorated within month.,,120,$0.16,$2.40,$1.92,$28.80
260,500,$103.15,$0.12,"$1,237.80",$1.44,,$2.48,,,,260,$0.12,$10.40,$1.44,$124.80
500,1000,$163.15,$0.10,"$1,957.80",$1.20,,$1.96,,"^ Annual - Can add seats, ",,500,$0.10,$10.00,$1.20,$120.00
1500,2500,$313.15,$0.08,"$3,757.80",$0.96,,$1.50,,    but no reduction,,1500,$0.08,$30.00,$0.96,$360.00
1700,4200,$449.15,$0.06,"$5,389.80",$0.72,,$1.28,,,,1700,$0.06,$34.00,$0.72,$408.00
1800,6000,$557.15,$0.05,"$6,685.80",$0.60,,$1.11,,    Charge prorated to end of year.,,1800,$0.05,$18.00,$0.60,$216.00
,,,,,,,,,,,,,,,
,CALCULATOR:,,,,,,,,,,75000,$0.05,,$0.60,
,▼,MONTHLY:,,ANNUAL:,,,Check Figures,,⬇︎,,,MONTHLY,,ANNUAL,
,SEATS,PRICE,Per Seat,PRICE,Per Seat,,$39.95,,⬇︎,,,,,,
►   ,200,$54.35,0.18,$652.20,2.16,,120,,⬇︎,,,,,,
,CALCULATOR:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Monthly,Annual,,Diff,,,,,,,,
,Students,Monthly,Annual,Cost/Student,Cost/Student,,,,,,,,,,
,,,,,,,,,,,,,,,
,5,$7.95 ,$95.40 ,1.590,$19.08 ,,,,,,,,,,
,6,$8.75 ,$105.00 ,1.458,$17.50 ,,1.580,,,,,,,,
,7,$9.55 ,$114.60 ,1.364,$16.37 ,,1.129,,,,,,,,
,8,$10.35 ,$124.20 ,1.294,$15.53 ,,0.846,,,,,,,,
,9,$11.15 ,$133.80 ,1.239,$14.87 ,,0.658,,,,,,,,
,10,$11.95 ,$143.40 ,1.195,$14.34 ,,0.527,,,,,,,,
,11,$12.75 ,$153.00 ,1.159,$13.91 ,,0.431,,,,,,,,
,12,$13.55 ,$162.60 ,1.129,$13.55 ,,0.359,,,,,,,,
,13,$14.35 ,$172.20 ,1.104,$13.25 ,,0.304,,,,,,,,
,14,$15.15 ,$181.80 ,1.082,$12.99 ,,0.260,,,,,,,,
,15,$15.95 ,$191.40 ,1.063,$12.76 ,,0.226,,,,,,,,
,16,$16.75 ,$201.00 ,1.047,$12.56 ,,0.197,,,,,,,,
,17,$17.55 ,$210.60 ,1.032,$12.39 ,,0.174,,,,,,,,
,18,$18.35 ,$220.20 ,1.019,$12.23 ,,0.155,,,,,,,,
,19,$19.15 ,$229.80 ,1.008,$12.09 ,,0.139,,,,,,,,
,20,$19.95 ,$239.40 ,0.998,$11.97 ,,0.125,,,,,,,,
,20,$19.95 ,$239.40 ,0.998,$11.97 ,,0.000,,,,,,,,
,25,$20.95 ,$251.40 ,0.838,$10.06 ,,1.914,,,,,,,,
,30,$21.95 ,$263.40 ,0.732,$8.78 ,,1.276,,,,,,,,
,35,$22.95 ,$275.40 ,0.656,$7.87 ,,0.911,,,,,,,,
,40,$23.95 ,$287.40 ,0.599,$7.19 ,,0.684,,,,,,,,
,45,$24.95 ,$299.40 ,0.554,$6.65 ,,0.532,,,,,,,,
,50,$25.95 ,$311.40 ,0.519,$6.23 ,,0.425,,,,,,,,
,55,$26.95 ,$323.40 ,0.490,$5.88 ,,0.348,,,,,,,,
,60,$27.95 ,$335.40 ,0.466,$5.59 ,,0.290,,,,,,,,
,65,$28.95 ,$347.40 ,0.445,$5.34 ,,0.245,,,,,,,,
,70,$29.95 ,$359.40 ,0.428,$5.13 ,,0.210,,,,,,,,
,75,$30.95 ,$371.40 ,0.413,$4.95 ,,0.182,,,,,,,,
,80,$31.95 ,$383.40 ,0.399,$4.79 ,,0.160,,,,,,,,
,85,$32.95 ,$395.40 ,0.388,$4.65 ,,0.141,,,,,,,,
,90,$33.95 ,$407.40 ,0.377,$4.53 ,,0.125,,,,,,,,
,95,$34.95 ,$419.40 ,0.368,$4.41 ,,0.112,,,,,,,,
,100,$35.95 ,$431.40 ,0.360,$4.31 ,,0.101,,,,,,,,
,105,$36.95 ,$443.40 ,0.352,$4.22 ,,0.091,,,,,,,,
,110,$37.95 ,$455.40 ,0.345,$4.14 ,,0.083,,,,,,,,
,115,$38.95 ,$467.40 ,0.339,$4.06 ,,0.076,,,,,,,,
,120,$39.95 ,$479.40 ,0.333,$4.00 ,,0.069,,,,,,,,
,125,$40.85 ,$490.20 ,0.327,$3.92 ,,0.073,,,,,,,,
,130,$41.75 ,$501.00 ,0.321,$3.85 ,,0.068,,,,,,,,
,135,$42.65 ,$511.80 ,0.316,$3.79 ,,0.063,,,,,,,,
,140,$43.55 ,$522.60 ,0.311,$3.73 ,,0.058,,,,,,,,
,145,$44.45 ,$533.40 ,0.307,$3.68 ,,0.054,,,,,,,,
,150,$45.35 ,$544.20 ,0.302,$3.63 ,,0.051,,,,,,,,
,155,$46.25 ,$555.00 ,0.298,$3.58 ,,0.047,,,,,,,,
,160,$47.15 ,$565.80 ,0.295,$3.54 ,,0.044,,,,,,,,
,165,$48.05 ,$576.60 ,0.291,$3.49 ,,0.042,,,,,,,,
,170,$48.95 ,$587.40 ,0.288,$3.46 ,,0.039,,,,,,,,
,175,$49.85 ,$598.20 ,0.285,$3.42 ,,0.037,,,,,,,,
,180,$50.75 ,$609.00 ,0.282,$3.38 ,,0.035,,,,,,,,
,185,$51.65 ,$619.80 ,0.279,$3.35 ,,0.033,,,,,,,,
,190,$52.55 ,$630.60 ,0.277,$3.32 ,,0.031,,,,,,,,
,195,$53.45 ,$641.40 ,0.274,$3.29 ,,0.030,,,,,,,,
,200,$54.35 ,$652.20 ,0.272,$3.26 ,,0.028,,,,,,,,
,210,$56.15 ,$673.80 ,0.267,$3.21 ,,0.052,,,,,,,,
,220,$57.95 ,$695.40 ,0.263,$3.16 ,,0.048,,,,,,,,
,230,$59.75 ,$717.00 ,0.260,$3.12 ,,0.044,,,,,,,,
,240,$61.55 ,$738.60 ,0.256,$3.08 ,,0.040,,,,,,,,
,250,$63.15 ,$757.80 ,0.253,$3.03 ,,0.046,,,,,,,,
,260,$64.75 ,$777.00 ,0.249,$2.99 ,,0.043,,,,,,,,
,270,$66.35 ,$796.20 ,0.246,$2.95 ,,0.040,,,,,,,,
,280,$67.95 ,$815.40 ,0.243,$2.91 ,,0.037,,,,,,,,
,290,$69.55 ,$834.60 ,0.240,$2.88 ,,0.034,,,,,,,,
,300,$71.15 ,$853.80 ,0.237,$2.85 ,,0.032,,,,,,,,
,310,$72.75 ,$873.00 ,0.235,$2.82 ,,0.030,,,,,,,,
,320,$74.35 ,$892.20 ,0.232,$2.79 ,,0.028,,,,,,,,
,330,$75.95 ,$911.40 ,0.230,$2.76 ,,0.026,,,,,,,,
,340,$77.55 ,$930.60 ,0.228,$2.74 ,,0.025,,,,,,,,
,350,$79.15 ,$949.80 ,0.226,$2.71 ,,0.023,,,,,,,,
,360,$80.75 ,$969.00 ,0.224,$2.69 ,,0.022,,,,,,,,
,370,$82.35 ,$988.20 ,0.223,$2.67 ,,0.021,,,,,,,,
,380,$83.95 ,"$1,007.40 ",0.221,$2.65 ,,0.020,,,,,,,,
,390,$85.55 ,"$1,026.60 ",0.219,$2.63 ,,0.019,,,,,,,,
,400,$87.15 ,"$1,045.80 ",0.218,$2.61 ,,0.018,,,,,,,,
,410,$88.75 ,"$1,065.00 ",0.216,$2.60 ,,0.017,,,,,,,,
,420,$90.35 ,"$1,084.20 ",0.215,$2.58 ,,0.016,,,,,,,,
,430,$91.95 ,"$1,103.40 ",0.214,$2.57 ,,0.015,,,,,,,,
,440,$93.55 ,"$1,122.60 ",0.213,$2.55 ,,0.015,,,,,,,,
,450,$95.15 ,"$1,141.80 ",0.211,$2.54 ,,0.014,,,,,,,,
,460,$96.75 ,"$1,161.00 ",0.210,$2.52 ,,0.013,,,,,,,,
,470,$98.35 ,"$1,180.20 ",0.209,$2.51 ,,0.013,,,,,,,,
,480,$99.95 ,"$1,199.40 ",0.208,$2.50 ,,0.012,,,,,,,,
,490,$101.55 ,"$1,218.60 ",0.207,$2.49 ,,0.012,,,,,,,,
,495,$102.35 ,"$1,228.20 ",0.207,$2.48 ,,0.006,,,,,,,,
,500,$103.15 ,"$1,237.80 ",0.206,$2.48 ,,0.006,,,,,,,,
,550,$109.15 ,"$1,309.80 ",0.198,$2.38 ,,0.094,,,,,,,,
,600,$115.15 ,"$1,381.80 ",0.192,$2.30 ,,0.078,,,,,,,,
,650,$121.15 ,"$1,453.80 ",0.186,$2.24 ,,0.066,,,,,,,,
,700,$127.15 ,"$1,525.80 ",0.182,$2.18 ,,0.057,,,,,,,,
,750,$133.15 ,"$1,597.80 ",0.178,$2.13 ,,0.049,,,,,,,,
,800,$139.15 ,"$1,669.80 ",0.174,$2.09 ,,0.043,,,,,,,,
,850,$145.15 ,"$1,741.80 ",0.171,$2.05 ,,0.038,,,,,,,,
,900,$151.15 ,"$1,813.80 ",0.168,$2.02 ,,0.034,,,,,,,,
,950,$157.15 ,"$1,885.80 ",0.165,$1.99 ,,0.030,,,,,,,,
,970,$159.55 ,"$1,914.60 ",0.164,$1.97 ,,0.011,,,,,,,,
,980,$160.75 ,"$1,929.00 ",0.164,$1.97 ,,0.005,,,,,,,,
,995,$162.55 ,"$1,950.60 ",0.163,$1.96 ,,0.008,,,,,,,,
,1000,$163.15 ,"$1,957.80 ",0.163,$1.96 ,,0.003,,,,,,,,
,1050,$168.15 ,"$2,017.80 ",0.160,$1.92 ,,0.036,,,,,,,,
,1100,$173.15 ,"$2,077.80 ",0.157,$1.89 ,,0.033,,,,,,,,
,1150,$178.15 ,"$2,137.80 ",0.155,$1.86 ,,0.030,,,,,,,,
,1200,$183.15 ,"$2,197.80 ",0.153,$1.83 ,,0.027,,,,,,,,
,1250,$188.15 ,"$2,257.80 ",0.151,$1.81 ,,0.025,,,,,,,,
,1300,$193.15 ,"$2,317.80 ",0.149,$1.78 ,,0.023,,,,,,,,
,1350,$198.15 ,"$2,377.80 ",0.147,$1.76 ,,0.022,,,,,,,,
,1400,$203.15 ,"$2,437.80 ",0.145,$1.74 ,,0.020,,,,,,,,
,1450,$208.15 ,"$2,497.80 ",0.144,$1.72 ,,0.019,,,,,,,,
,1500,$213.15 ,"$2,557.80 ",0.142,$1.71 ,,0.017,,,,,,,,
,1550,$218.15 ,"$2,617.80 ",0.141,$1.69 ,,0.016,,,,,,,,
,1600,$223.15 ,"$2,677.80 ",0.139,$1.67 ,,0.015,,,,,,,,
,1650,$228.15 ,"$2,737.80 ",0.138,$1.66 ,,0.014,,,,,,,,
,1700,$233.15 ,"$2,797.80 ",0.137,$1.65 ,,0.014,,,,,,,,
,1750,$238.15 ,"$2,857.80 ",0.136,$1.63 ,,0.013,,,,,,,,
,1800,$243.15 ,"$2,917.80 ",0.135,$1.62 ,,0.012,,,,,,,,
,1850,$248.15 ,"$2,977.80 ",0.134,$1.61 ,,0.011,,,,,,,,
,1900,$253.15 ,"$3,037.80 ",0.133,$1.60 ,,0.011,,,,,,,,
,1950,$258.15 ,"$3,097.80 ",0.132,$1.59 ,,0.010,,,,,,,,
,2000,$263.15 ,"$3,157.80 ",0.132,$1.58 ,,0.010,,,,,,,,
,2050,$268.15 ,"$3,217.80 ",0.131,$1.57 ,,0.009,,,,,,,,
,2100,$273.15 ,"$3,277.80 ",0.130,$1.56 ,,0.009,,,,,,,,
,2150,$278.15 ,"$3,337.80 ",0.129,$1.55 ,,0.008,,,,,,,,
,2200,$283.15 ,"$3,397.80 ",0.129,$1.54 ,,0.008,,,,,,,,
,2250,$288.15 ,"$3,457.80 ",0.128,$1.54 ,,0.008,,,,,,,,
,2300,$293.15 ,"$3,517.80 ",0.127,$1.53 ,,0.007,,,,,,,,
,2350,$298.15 ,"$3,577.80 ",0.127,$1.52 ,,0.007,,,,,,,,
,2400,$303.15 ,"$3,637.80 ",0.126,$1.52 ,,0.007,,,,,,,,
,2450,$308.15 ,"$3,697.80 ",0.126,$1.51 ,,0.006,,,,,,,,
,2500,$313.15 ,"$3,757.80 ",0.125,$1.50 ,,0.006,,,,,,,,
,2550,$317.15 ,"$3,805.80 ",0.124,$1.49 ,,0.011,,,,,,,,
,2600,$321.15 ,"$3,853.80 ",0.124,$1.48 ,,0.010,,,,,,,,
,2650,$325.15 ,"$3,901.80 ",0.123,$1.47 ,,0.010,,,,,,,,
,2700,$329.15 ,"$3,949.80 ",0.122,$1.46 ,,0.009,,,,,,,,
,2750,$333.15 ,"$3,997.80 ",0.121,$1.45 ,,0.009,,,,,,,,
,2800,$337.15 ,"$4,045.80 ",0.120,$1.44 ,,0.009,,,,,,,,
,2850,$341.15 ,"$4,093.80 ",0.120,$1.44 ,,0.009,,,,,,,,
,2900,$345.15 ,"$4,141.80 ",0.119,$1.43 ,,0.008,,,,,,,,
,2950,$349.15 ,"$4,189.80 ",0.118,$1.42 ,,0.008,,,,,,,,
,3000,$353.15 ,"$4,237.80 ",0.118,$1.41 ,,0.008,,,,,,,,
,3050,$357.15 ,"$4,285.80 ",0.117,$1.41 ,,0.007,,,,,,,,
,3100,$361.15 ,"$4,333.80 ",0.117,$1.40 ,,0.007,,,,,,,,
,3150,$365.15 ,"$4,381.80 ",0.116,$1.39 ,,0.007,,,,,,,,
,3200,$369.15 ,"$4,429.80 ",0.115,$1.38 ,,0.007,,,,,,,,
,3250,$373.15 ,"$4,477.80 ",0.115,$1.38 ,,0.007,,,,,,,,
,3300,$377.15 ,"$4,525.80 ",0.114,$1.37 ,,0.006,,,,,,,,
,3350,$381.15 ,"$4,573.80 ",0.114,$1.37 ,,0.006,,,,,,,,
,3400,$385.15 ,"$4,621.80 ",0.113,$1.36 ,,0.006,,,,,,,,
,3450,$389.15 ,"$4,669.80 ",0.113,$1.35 ,,0.006,,,,,,,,
,3500,$393.15 ,"$4,717.80 ",0.112,$1.35 ,,0.006,,,,,,,,
,3550,$397.15 ,"$4,765.80 ",0.112,$1.34 ,,0.005,,,,,,,,
,3600,$401.15 ,"$4,813.80 ",0.111,$1.34 ,,0.005,,,,,,,,
,3650,$405.15 ,"$4,861.80 ",0.111,$1.33 ,,0.005,,,,,,,,
,3700,$409.15 ,"$4,909.80 ",0.111,$1.33 ,,0.005,,,,,,,,
,3750,$413.15 ,"$4,957.80 ",0.110,$1.32 ,,0.005,,,,,,,,
,3800,$417.15 ,"$5,005.80 ",0.110,$1.32 ,,0.005,,,,,,,,
,3850,$421.15 ,"$5,053.80 ",0.109,$1.31 ,,0.005,,,,,,,,
,3900,$425.15 ,"$5,101.80 ",0.109,$1.31 ,,0.005,,,,,,,,
,4000,$433.15 ,"$5,197.80 ",0.108,$1.30 ,,0.009,,,,,,,,
,4100,$441.15 ,"$5,293.80 ",0.108,$1.29 ,,0.008,,,,,,,,
,4200,$449.15 ,"$5,389.80 ",0.107,$1.28 ,,0.008,,,,,,,,
,4300,$455.15 ,"$5,461.80 ",0.106,$1.27 ,,0.013,,,,,,,,
,4400,$461.15 ,"$5,533.80 ",0.105,$1.26 ,,0.013,,,,,,,,
,4500,$467.15 ,"$5,605.80 ",0.104,$1.25 ,,0.012,,,,,,,,
,4600,$473.15 ,"$5,677.80 ",0.103,$1.23 ,,0.011,,,,,,,,
,4700,$479.15 ,"$5,749.80 ",0.102,$1.22 ,,0.011,,,,,,,,
,4800,$485.15 ,"$5,821.80 ",0.101,$1.21 ,,0.010,,,,,,,,
,4900,$491.15 ,"$5,893.80 ",0.100,$1.20 ,,0.010,,,,,,,,
,5000,$497.15 ,"$5,965.80 ",0.099,$1.19 ,,0.010,,,,,,,,
,5100,$503.15 ,"$6,037.80 ",0.099,$1.18 ,,0.009,,,,,,,,
,5200,$509.15 ,"$6,109.80 ",0.098,$1.17 ,,0.009,,,,,,,,
,5300,$515.15 ,"$6,181.80 ",0.097,$1.17 ,,0.009,,,,,,,,
,5400,$521.15 ,"$6,253.80 ",0.097,$1.16 ,,0.008,,,,,,,,
,5500,$527.15 ,"$6,325.80 ",0.096,$1.15 ,,0.008,,,,,,,,
,5600,$533.15 ,"$6,397.80 ",0.095,$1.14 ,,0.008,,,,,,,,
,5700,$539.15 ,"$6,469.80 ",0.095,$1.14 ,,0.007,,,,,,,,
,5800,$545.15 ,"$6,541.80 ",0.094,$1.13 ,,0.007,,,,,,,,
,5900,$551.15 ,"$6,613.80 ",0.093,$1.12 ,,0.007,,,,,,,,
,6000,$557.15 ,"$6,685.80 ",0.093,$1.11 ,,0.007,,,,,,,,
,6100,$562.15 ,"$6,745.80 ",0.092,$1.11 ,,0.008,,,,,,,,
,6200,$567.15 ,"$6,805.80 ",0.091,$1.10 ,,0.008,,,,,,,,
,6300,$572.15 ,"$6,865.80 ",0.091,$1.09 ,,0.008,,,,,,,,
,6400,$577.15 ,"$6,925.80 ",0.090,$1.08 ,,0.008,,,,,,,,
,6500,$582.15 ,"$6,985.80 ",0.090,$1.07 ,,0.007,,,,,,,,
,6600,$587.15 ,"$7,045.80 ",0.089,$1.07 ,,0.007,,,,,,,,
,6700,$592.15 ,"$7,105.80 ",0.088,$1.06 ,,0.007,,,,,,,,
,6800,$597.15 ,"$7,165.80 ",0.088,$1.05 ,,0.007,,,,,,,,
,6900,$602.15 ,"$7,225.80 ",0.087,$1.05 ,,0.007,,,,,,,,
,7000,$607.15 ,"$7,285.80 ",0.087,$1.04 ,,0.006,,,,,,,,
,7100,$612.15 ,"$7,345.80 ",0.086,$1.03 ,,0.006,,,,,,,,
,7200,$617.15 ,"$7,405.80 ",0.086,$1.03 ,,0.006,,,,,,,,
,7300,$622.15 ,"$7,465.80 ",0.085,$1.02 ,,0.006,,,,,,,,
,7400,$627.15 ,"$7,525.80 ",0.085,$1.02 ,,0.006,,,,,,,,
,7500,$632.15 ,"$7,585.80 ",0.084,$1.01 ,,0.006,,,,,,,,
,7600,$637.15 ,"$7,645.80 ",0.084,$1.01 ,,0.005,,,,,,,,
,7700,$642.15 ,"$7,705.80 ",0.083,$1.00 ,,0.005,,,,,,,,
,7800,$647.15 ,"$7,765.80 ",0.083,$1.00 ,,0.005,,,,,,,,
,7900,$652.15 ,"$7,825.80 ",0.083,$0.99 ,,0.005,,,,,,,,
,8000,$657.15 ,"$7,885.80 ",0.082,$0.99 ,,0.005,,,,,,,,
,75000,"$4,007.15 ","$48,085.80 ",0.053,$0.64 ,,0.345,,,,,,,,