,,,,,,,,,,,,,,530 Learning Element and Sequence Coding,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Game Level Table,,,,,,,Game Stage Table,,,,,,,,,,,Learning Element Table,,,,,,,,,Game Concepts,,,,,,,,,,,
,Code,,Level Name,,,,,Code,,,Stage Name,,,,,Suffix,,,Code,,,Name,,,,,,Code,,,Concept Name,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P,,Primary 1a,,,,,LERN,,,Learn,,,,,1,,,GAM,,,Game,,,,,,CHORD,,,Chords & Harmony,,,,,,,,
,1,,Level 1,,,,,PLAY,,,Play,,,,,2,,,SOL,,,Solfege,,,,,,INTVL,,,Intervals,,,,,,,,
,2,,Level 2,,,,,QUIZ,,,Quiz,,,,,3,,,VID,,,Video,,,,,,KEYBD,,,Keyboard Elements,,,,,,,,
,3,,Level 3,,,,,CHAL,,,Challenge,,,,,4,,,AUD,,,Audio,,,,,,MEMOP,,,Tonal Memory & Playback,,,,,,,,
,4,,Level 4,,,,,REV1,,,Review 1,,,,,5,,,TXT,,,Text,,,,,,PITCH,,,Pitch & Melody,,,,,,,,
,5,,Level 5,,,,,REV2,,,Review 2,,,,,6,,,RWD,,,Reward,,,,,,RHYTM,,,Rhythm & Meter,,,,,,,,
,6,,Level 6,,,,,REV3,,,Review 3,,,,,7,,,,,,,,,,,,SCALE,,,Scale & Key Signatures,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYMBL,,,MusicTerms & Symbols,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Language Table,,,,,,,,Video & Audio Specification,,,,,,,,,,Reward Specifications,,,,,,,,,,,,,,,,,,,,
,Code,,Language,,,,,,Code,,AV Type,,,,,,,,Code,,Reward Type,,,,,,,Text Specifications,,,,,,,,Code,,,Concept Type
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Code,,Text Type,,,,,,,,,
,E,,English,,,,,,TUT,,Site Tutorial,,,,,,,,STK,,Sticker,,,,,,,,,,,,,,,,A,,Aural
,F,,French,,,,,,INS,,Instructional,,,,,,,,BDG,,Badge,,,,,,,LAB,,Label,,,,,,,V,,Visual
,G,,German,,,,,,FUN,,Entertainment,,,,,,,,CER,,Certificate,,,,,,,GTX,,Game Text,,,,,,,,,
,I,,Italian,,,,,,,,,,,,,,,,,,,,,,,,,SEN,,Sentence,,,,,,,,,
,P,,Portugeuse,,,,,,,,,,,,,,,,,,,,,,,,,PAR,,Paragraph,,,,,,,,,
,S,,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Used,,,,
,Named Sequence Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HARMP,,,Harmonic Progression,,
,Code,,,Named Sequence,,,,,,,,,,,,,,,Other Sequences,,,,,,,,,,,,,,,MELOD,,,Melody,,
,LIFE,,, Lifetime Musician Curriculum (Default),,,,,,,,,,,,,,,Code,,Sequence Name,,,,,,,,,,,,,METER,,,Meter,,
,ALFR,,, Alfred's Premier Piano Course,,,,,,,,,,,,,,,SOL,,,Solfege,,,,,,,,,,,,MTERM,,,Music Terms,,
,ARTI,,, Artistry at the Piano,,,,,,,,,,,,,,,CAL,,,California MTAC,,,,,,,,,,,,STAFF,,,Staff,,
,CELE,,, Celebrate Piano,,,,,,,,,,,,,,,FLO,,,Florida State MTA,,,,,,,,,,,,,,,,,
,FABR,,, Faber Piano Adventures,,,,,,,,,,,,,,,ILL,,,Illinois MTA,,,,,,,,Extra Designation,,,,,,,,,
,HALL,,, Hal Leonard Student Piano Library,,,,,,,,,,,,,,,TEX,,,Texas MTA,,,,,,,,Code,,,Extra,,,,,,
,MYCH,,, Music For Young Children,,,,,,,,,,,,,,,VIR,,,Virginia MTA,,,,,,,,,,,,,,,,,
,SUCC,,, Succeeding at the Piano,,,,,,,,,,,,,,,,,,,,,,,,,,M,MIDI capable,,,,,,,,
,TREE,,, The Music Tree,,,,,,,,,,,,,,,,,,,,,,,,,,S,Solfege game,,,,,,,,
,RCME,,, The Royal Conservatory Examinations,,,,,,,,,,,,,,,,,,,,,,,,,,F,Solfege sequence,,,,,,,,
,YMIE,,,Yamaha Music in Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,535,,,Learning Element Table,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-Game Learning Element Numbering Scheme,,,,,,,,,,,,,,,,,,,,Example:,,,,VID-INS-2345-E,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,AUD-FUN-1007-F,,,,,,,,,,,,,,
,,,,,,,,,,,,Language,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Element,,,Type,,Number,,,,,,Description,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AUD,,,TUT,,0001,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VID,,,INS,,2345,,,,F,,,Ex: Describes how to enter member code,,,,,,,,,,,,,,,,,,,,,,,,
,,,TXT,,,FUN,,9999,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,RWD,,,STK,,,,,,I,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,BDG,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,CER,,,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GTX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,461,,,View Update Non-Game Element,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Learning Element Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Element Number,,,,,,Element,,,Stage,,,Name,,,,,,,,,,Description,,,,,,,,,,,,,,,,
,AUD-FUN-1000,,,,,,,AUD,,FUN,,,Play Music with Me,,,,,,,,,,Introductory Marketing video for website,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,VID-INS-2345,,,,,,,VID,,INS,,,Member code,,,,,,,,,,Describes how to enter member code,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TXT-LAB-3015,,,,,,,TXT,,LAB,,,SUBSCRIBE,,,,,,,,,,Label on subscription page,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,471,,,,NAMED SEQUENCE DEFINITION,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE,,,Lifetime Musicain Sequence Definition Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,,,Level Title,,,,,,,,,Unit Title,,,,,,,Group,,,Seq Table #,,,,,,,,,EXAMPLE TABLES,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 1,,,,,,,,A,,LIFE-000010,,,,,,,,,,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 2,,,,,,,,A,,LIFE-000020,,,,,,,,,,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 3,,,,,,,,A,,LIFE-000030,,,,,,,,,,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,, - - - - - - -,,,,,,,, - -,,,,,,,,,,,,,,,,,,
,LIFE,,,Primary Level 1A,,,,,,,,,Assignment 20,,,,,,,,A,,LIFE-006000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Alfred Premier Piano Course Sequence Definition Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,,,Level Title,,,,,,,,,Unit Title,,,,,,,Group,,,Seq Table #,,,,,,,,,,,,,,,,
,ALFP,,,Level 1A,,,,,,,,,1. Pages 4-11,,,,,,,,A,,ALFP-0010,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Level 1A,,,,,,,,,1. Pages 4-11,,,,,,,,B,,ALPH-0020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALFP,,,Level 1A,,,,,,,,,1. Pages 4-11,,,,,,,,C,,ALPH-0030,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALPH,,,Level 1A,,,,,,,,,2. Pages 12-14,,,,,,,,A,,ALPH-0040,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,472,,,NAMED SEQUENCE,,,,,,,,,,,,,,,,,
,LIFE,,,Lifetime Musicain Sequence Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Seq Order Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Seq Table #,,,,,,,,,Elements Numbers,,,,,,,Type,,,Stage,,,Name,,,,,,,,,,Description,,,,,,
,LIFE-000010,,,,,,00500,,,VID-INS-2005,,,,,,,VID,,,INS,,,How to Use Sequence,,,,,,,,,,How to navigate sequence assignment,,,,,,
,LIFE-000010,,,,,,00100,,,04001-1,,,,,,,GAM,,,LERN,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds,,,,,,
,LIFE-000010,,,,,,00150,,,04001-2,,,,,,,GAM,,,PLAY,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds,,,,,,
,LIFE-000010,,,,,,00200,,,04001-3,,,,,,,GAM,,,QUIZ,,,Songbirds High and Low,,,,,,,,,,Identify high sounds and low sounds,,,,,,
,LIFE-000010,,,,,,00250,,,08002-1,,,,,,,GAM,,,LERN,,,Storm Chasers 1,,,,,,,,,,Aurally identify Up and Down,,,,,,
,,, - - - -,,,,, -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE-000010,,,,,,00750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIFE-000010,,,,,,00800,,,,,,,,,,(Last game in Level 1a Assignment 1,,,,,,,,,,,,,,,,,,,,,,
,LIFE-000020,,,,,,00850,,,,,,,,,,(First game in Level 1a Assignment 2,,,,,,,,,,,,,,,,,,,,,,
,LIFE-000020,,,,,,00900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,All Games Sequence Definition Table,,,,,,,,,,,,,,,,,,,
,ALL,,,All games sequence definition table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Code,,,Level Title,,,,,,,,,Unit Title,,,,,,,,,,,,,,,,Group,,,,,,,,Seq Table #,,
,ALL,,,60 Second Club,,,,,,,,,1. Grand Staff White Keys,,,,,,,,,,,,,,,,,A,,,,,,,ALL-00020,,
,ALL,,,60 Second Club,,,,,,,,,2. Grand Staff Black Keys,,,,,,,,,,,,,,,,,A,,,,,,,ALL-00030,,
,ALL,,,60 Second Club,,,,,,,,,3. Grand Staff White & Black Keys,,,,,,,,,,,,,,,,,A,,,,,,,ALL-00040,,
,ALL,,,60 Second Club,,,,,,,,,4. Grand Staff Key Signature Challenge,,,,,,,,,,,,,,,,,A,,,,,,,ALL-00050,,
,ALL,,,60 Second Club,,,,,,,,,1. Solfege,Grand Staff White Keys-Solfege,,,,,,,,,,,,,,,,A,,,,,,,ALL-00060,,
,ALL,,,60 Second Club,,,,,,,,,2. Grand Staff Black Keys-Solfege,,,,,,,,,,,,,,,,,A,,,,,,,ALL-00070,,
,ALL,,,60 Second Club,,,,,,,,,3. Grand Staff White & Black Challenge-Solfege,,,,,,,,,,,,,,,,,A,,,,,,,ALL-00080,,
,ALL,,,Alpha Order Down,,,,,,,,,Name missing letters in descending music alphabet,,,,,,,,,,,,,,,,,,,,,,,,ALL-00090,,
,ALL,,,Alpha Order Up,,,,,,,,,Name missing letters in ascendong music alphabet,,,,,,,,,,,,,,,,,,,,,,,,ALL-00100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL-00110,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL-00120,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL-00130,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALL-00140,,