,,,,,,,,,,
,,BROWSER:,Firefox,Chrome,Edge,Opera,Safari,MLC app (1),Other (3),
,,,,,,,,,,
,Windows Computer,Games ,G,G,G,G,G (2),,G,
,,MIDI +,,M,Mt,Mg,,,,
,Android Mobile,Games,G,G,G,G,,,G,
,,MIDI ++,,M,,My,,,,
,Mac Computer,Games,G,G,G,G,G,,G,
,,MIDI +,,M,,,,,,
,iOS Mobile,Games,G,G,G,G,G,G,G,
,,MIDI ++,,,,,,M,,
,,,,,,,,,,
,(1),App available for download through MusicLearningCommunity.com website,,,,,,,,
,(2),only older version of Safari up through 5.1.7,,,,,,,,
,(3),various other browsers may work but have not been tested by us,,,,,,,, 
,+,with USB or Bluetooth MIDI keyboard,,,,,,,,
,++,with Bluetooth MIDI keyboard,,,,,,,,
,,,,,,,,G-Games,,
,t,"Edge version 81+ (April 12,2020)",,,,,,M-Midi,,
,g,"Opera version 68+ (April 21,2020)",,,,,,,,
,y,"Opera version 46+ for Android (Sept 2, 2016)",,,,,,,,