,,,,,,405,MEMBER DATA SCREEN,,,,,,,,,
,Member #,,,,Member Group #,,,,,,,,Max Users,,,Account Reference
*,,,,*,,,,,,,,#,,,* ,
,,,,,,,,,,,,,,,,
,Start Date (mm/dd/yyyy),,,,,End Date (mm/dd/yyyy),,,,,,,Max User last change date,,,
#,,,,,# ,,,,,,,*,,,,
,,,,,,,,,,,,,,,,
,Suspend Period Start Date,,,,,Suspend Period Restart Date,,,,,,,Subscription Level,,,
#,,,,,# ,,,,,,,*,   Prelude,,,
,,,,,,,,,,,,*,   Solo,,,
,Last Name,,,,,First Name,,,,,,*,   Ensemble,,,
#,+,,,,# ,,,,,,,,,,,
,,,,,,,,,,,,*,,,,   Sponsor Code
,Address 1,,,,,Address 2,,,,,,,,,,
#,,,,,# ,,,,,,,*,,,,   Sponsored Code
,,,,,,,,,,,,,,,,
,City,,,,,State,,,Zip,,,,,Country,,
#,,,,,# ,,,# ,,,,,# ,,,
,,,,,,,,,,,,,,,,
,E-mail 1,,,,,,,E-Mail 2,,,,,,,,
+,+,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Phone 1,,,,,Phone 2,,,,,,,,,,
#,,,,,,,,,,,,*,Off,   Find-A-Teacher participant,,
,,,,,,,,,,,,,,,,
,School Name,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Comments,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,* System generated field,,,,,,,,
,,,,,,,,+ Required fields for membership,,,,,,,,
,,,,,,,,# User generated,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,407,MEMBER GROUP DATA SCREEN,,,,,,,,,
,,,,,,,,,,,,,,Group Participants Member Numbers:,,
,Member Group #,,,,,Account Reference,,,,,,,#,,,Last Name
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Start Date (mm/dd/yyyy),,,,,End Date (mm/dd/yyyy),,,,,,,,,,
#,,,,,# ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Suspend Period Start Date,,,,,Suspend Period Restart Date,,,,,,,,,,
#,,,,,# ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Group (School District),,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Address 1,,,,,Address 2,,,,,,,,,,
#,,,,,# ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,City,,,,,State,,,Zip,,,,,Country,,
#,,,,,# ,,,# ,,,,,# ,,,
,,,,,,,,,,,,,,,,
,Primary Contact Last Name,,,,,Primary Cpntact First Name,,,,,,,,,,
#,+,,,,# ,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,E-mail 1,,,,,,,E-Mail 2,,,,,,,,
+,+,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Phone 1,,,,,Phone 2,,,,,,,,,,
#,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Comments,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,* System generated field,,,,,,,,
,,,,,,,,+ Required fields for membership,,,,,,,,
,,,,,,,,# User generated,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,120,MEMBER INFORMATION UPDATE,,,,,,,,,
,Member #,,,,,,,,,,,,Max Users,,,Account Reference
*,,,,,,,,,,,,#,,,* ,
,,,,,,,,,,,,,,,,
,Start Date (mm/dd/yyyy),,,,,End Date (mm/dd/yyyy),,,,,,,Max User last change date,,,
*,,,,,*,,,,,,,*,,,,
,,,,,,,,,,,,,,,,
,Suspend Period Start Date,,,,,Suspend Period Restart Date,,,,,,,Subscription Level,,,
#,,,,,# ,,,,,,,*,   Prelude,,,
,,,,,,,,,,,,*,   Solo,,,
,Last Name,,,,,First Name,,,,,,*,   Ensemble,,,
#,+,,,,# ,,,,,,,,,,,
,,,,,,,,,,,,*,,,,   Sponsor Code
,Address 1,,,,,Address 2,,,,,,,,,,
#,,,,,# ,,,,,,,*,,,,   Sponsored Code
,,,,,,,,,,,,,,,,
,City,,,,,State,,,Zip,,,,,Country,,
#,,,,,# ,,,# ,,,,,# ,,,
,,,,,,,,,,,,,,,,
,E-mail 1,,,,,,,E-Mail 2,,,,,,,,
+,+,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Phone 1,,,,,Phone 2,,,,,,,,,,
#,,,,,,,,,,,,#,Off,   Participate in Find-A-Teacher resource,,
,,,,,,,,,,,,,,"by allowing your Name, Phone Number",,
,School Name,,,,,,,,,,,,,and Zip code to be listed in the directory,,
#,,,,,,,,,,,,,,of participating MusicLearningCommunity,,
,,,,,,,,,,,,,,Teachers.,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,#,,   Update payment information,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,* System generated field,,,,,,,,,,,
,,,,,+ Required fields for membership,,,,,,,,,,,
,,,,,# User generated,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,220,Student Management Screen,,,,,,,,,
,,,,,,,,,,,,,,,,
,Teacher:,,,,,,,,,,,,,,,
,(Presents teacher's name),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Shown in dropdown,,
,Last Name,,,,,First Name,,,,,,,,,,
,,,,,,,,,,,,POPULAR METHOD SEQUENCES:,,,,
,,,,,,,,,,,,,LIFE, - Lifetime Musician Curriculum (Default),,
,User Name,,,,,Password,,,,,,,ALFR, - Alfred's Premier Piano Course,,
,,,,,,,,,,,,,ARTI, - Artistry at the Piano,,
,,,,,,,,,,,,,CELE, - Celebrate Piano,,
,Sequence Assignment,,,,,,,,,,,,FABR, - Faber Piano Adventures,,
,,Start:,Sequence:,,LIFE,,Default,,,,,,HALL, - Hal Leonard Student Piano Library,,
,,,Level,,0,,(Dropdown),,,,,,MYCH, - Music For Young Children,,
,,,Unit,,1,,(Dropdown),,,,,,SUCC, - Succeeding at the Piano,,
,,,,,,,,,,,,,TREE, - The Music Tree,,
,,,,,,,,,,,,,RCME, - The Royal Conservatory Examinations,,
,Click the button next to an existing student user to change information,,,,,,,,,,,,YMIE, - Yamaha Music in Education,,
,,,,,,,,Sequence,,Send,,,,,,
,Student,Full Name,,User Name,,Password,,Assigned,,Message,,,,,,
,,,,,,,,,,,,,,,,
,O,"Student, Test",,stu678,,class,,LIFE,,O,,OTHER GAME SEQUENCES:,,,,
,O,"Johnson, Pan",,joh567,,clef,,LIFE,,O,,,SOL, - Fixed DO Solfege,,
,O,"Arthur, Tim",,art456,,coda,,FABR,,O,,,,,,
,O,"Smith, Alice",,smi987,,dot,,LIFE,,O,,,,,,
,O,"Thompson, Jenny",,tho432,,down,,LIFE,,O,,,,,,
,O,"Jamieson, Jan",,jam246,,drum,,RCME,,O,,,,,,
,O,"Weather, John",,wea095,,duet,,RCME,,O,,,,,,
,O,,,,,,,,,O,,,,,,
,,,,,,,,,,,,,,,,
,,,(Extends to show all students),,,,,,,,,,,,,